Game,Winner,Reason,TotalMoves
454,Draw,Max Moves,200
455,Draw,Max Moves,200
456,Draw,Max Moves,200
457,Draw,Max Moves,200
458,Draw,Max Moves,200
459,Draw,Max Moves,200
460,Bot1_Black,Checkmate,88
461,Draw,Max Moves,200
462,Draw,Max Moves,200
463,Draw,Max Moves,200
464,Draw,Max Moves,200
465,Draw,Max Moves,200
466,Draw,Max Moves,200
467,Draw,Max Moves,200
468,Draw,Max Moves,200
469,Draw,Max Moves,200
470,Draw,Max Moves,200
471,Draw,Max Moves,200
472,Draw,Max Moves,200
473,Draw,Max Moves,200
474,Draw,Max Moves,200
475,Draw,Max Moves,200
476,Draw,Max Moves,200
477,Draw,Max Moves,200
478,Draw,Max Moves,200
479,Draw,Max Moves,200
480,Draw,Max Moves,200
481,Draw,Max Moves,200
482,Draw,Max Moves,200
483,Draw,Max Moves,200
484,Draw,Repetition,118
485,Draw,Max Moves,200
486,Draw,Max Moves,200
487,Draw,Max Moves,200
488,Draw,Max Moves,200
489,Draw,Max Moves,200
490,Draw,Repetition,117
491,Draw,Max Moves,200
492,Draw,Max Moves,200
493,Draw,Max Moves,200
494,Draw,Max Moves,200
495,Draw,Max Moves,200
496,Draw,Max Moves,200
497,Draw,Max Moves,200
498,Draw,Max Moves,200
499,Draw,Max Moves,200
500,Draw,Max Moves,200
501,Draw,Repetition,171
502,Draw,Max Moves,200
503,Draw,Max Moves,200
504,Draw,Max Moves,200
505,Draw,Max Moves,200
506,Draw,Max Moves,200
507,Draw,Stalemate,186
508,Draw,Max Moves,200
509,Draw,Max Moves,200
510,Draw,Max Moves,200
511,Draw,Max Moves,200
512,Draw,Max Moves,200
513,Draw,Max Moves,200
514,Draw,Max Moves,200
515,Draw,Max Moves,200
516,Draw,Max Moves,200
517,Draw,Max Moves,200
518,Draw,Max Moves,200
519,Draw,Max Moves,200
520,Draw,Max Moves,200
521,Draw,Max Moves,200
522,Draw,Max Moves,200
523,Draw,Stalemate,155
524,Draw,Max Moves,200
525,Draw,Max Moves,200
526,Draw,Repetition,83
527,Draw,Max Moves,200
528,Draw,Max Moves,200
529,Draw,Max Moves,200
530,Draw,Max Moves,200
531,Draw,Max Moves,200
532,Draw,Max Moves,200
533,Draw,Max Moves,200
534,Draw,Max Moves,200
535,Draw,Max Moves,200
536,Draw,Max Moves,200
537,Draw,Max Moves,200
538,Draw,Max Moves,200
539,Draw,Max Moves,200
540,Draw,Max Moves,200
541,Draw,Max Moves,200
542,Draw,Max Moves,200
543,Draw,Max Moves,200
544,Draw,Max Moves,200
545,Draw,Max Moves,200
546,Draw,Repetition,122
547,Draw,Max Moves,200
548,Draw,Max Moves,200
549,Draw,Max Moves,200
550,Draw,Repetition,154
551,Draw,Max Moves,200
552,Draw,Max Moves,200
553,Draw,Max Moves,200
554,Draw,Max Moves,200
555,Draw,Max Moves,200
556,Draw,Repetition,145
557,Draw,Max Moves,200
558,Draw,Max Moves,200
559,Draw,Max Moves,200
560,Draw,Max Moves,200
561,Draw,Max Moves,200
562,Draw,Max Moves,200
563,Draw,Max Moves,200
564,Draw,Max Moves,200
565,Draw,Max Moves,200
566,Draw,Max Moves,200
567,Draw,Max Moves,200
568,Draw,Max Moves,200
569,Draw,Max Moves,200
570,Draw,Max Moves,200
571,Draw,Max Moves,200
572,Draw,Repetition,100
573,Draw,Max Moves,200
574,Draw,Max Moves,200
575,Draw,Max Moves,200
576,Draw,Max Moves,200
577,Draw,Max Moves,200
578,Draw,Max Moves,200
579,Draw,Max Moves,200
580,Draw,Max Moves,200
581,Draw,Max Moves,200
582,Draw,Max Moves,200
583,Draw,Max Moves,200
584,Draw,Max Moves,200
585,Draw,Max Moves,200
586,Draw,Max Moves,200
587,Draw,Max Moves,200
588,Draw,Max Moves,200
589,Draw,Max Moves,200
590,Draw,Max Moves,200
591,Draw,Max Moves,200
592,Draw,Repetition,105
593,Draw,Max Moves,200
594,Bot1_Black,Checkmate,50
595,Draw,Max Moves,200
596,Draw,Max Moves,200
597,Draw,Max Moves,200
598,Draw,Repetition,67
599,Draw,Max Moves,200
600,Draw,Max Moves,200
601,Draw,Max Moves,200
602,Draw,Max Moves,200
603,Draw,Max Moves,200
604,Draw,Max Moves,200
605,Draw,Max Moves,200
606,Draw,Max Moves,200
607,Draw,Max Moves,200
608,Draw,Max Moves,200
609,Draw,Max Moves,200
610,Draw,Max Moves,200
611,Draw,Repetition,185
612,Draw,Max Moves,200
613,Draw,Max Moves,200
614,Draw,Max Moves,200
615,Draw,Max Moves,200
616,Draw,Repetition,62
617,Draw,Max Moves,200
618,Draw,Max Moves,200
619,Draw,Repetition,82
620,Draw,Max Moves,200
621,Draw,Max Moves,200
622,Draw,Max Moves,200
623,Draw,Max Moves,200
624,Draw,Max Moves,200
625,Draw,Repetition,121
626,Draw,Max Moves,200
627,Draw,Max Moves,200
628,Draw,Max Moves,200
629,Draw,Max Moves,200
630,Draw,Max Moves,200
631,Draw,Max Moves,200
632,Draw,Max Moves,200
633,Draw,Max Moves,200
634,Draw,Max Moves,200
635,Draw,Max Moves,200
636,Draw,Max Moves,200
637,Draw,Max Moves,200
638,Draw,Max Moves,200
639,Draw,Max Moves,200
640,Draw,Max Moves,200
641,Draw,Max Moves,200
642,Draw,Max Moves,200
643,Draw,Stalemate,126
644,Draw,Max Moves,200
645,Draw,Max Moves,200
646,Draw,Max Moves,200
647,Draw,Max Moves,200
648,Draw,Max Moves,200
649,Draw,Max Moves,200
650,Draw,Max Moves,200
651,Draw,Max Moves,200
652,Draw,Max Moves,200
653,Bot2_Black,Checkmate,80
654,Draw,Max Moves,200
655,Draw,Max Moves,200
656,Draw,Repetition,191
657,Draw,Max Moves,200
658,Draw,Max Moves,200
659,Draw,Repetition,141
660,Draw,Max Moves,200
661,Draw,Max Moves,200
662,Draw,Max Moves,200
663,Draw,Max Moves,200
664,Draw,Max Moves,200
665,Draw,Max Moves,200
666,Draw,Max Moves,200
667,Draw,Max Moves,200
668,Bot1_Black,Checkmate,102
669,Draw,Max Moves,200
670,Draw,Max Moves,200
671,Draw,Max Moves,200
672,Draw,Max Moves,200
673,Draw,Max Moves,200
674,Draw,Max Moves,200
675,Draw,Max Moves,200
676,Draw,Max Moves,200
677,Draw,Max Moves,200
678,Draw,Max Moves,200
679,Draw,Max Moves,200
680,Draw,Max Moves,200
681,Draw,Max Moves,200
682,Draw,Max Moves,200
683,Draw,Max Moves,200
684,Draw,Max Moves,200
685,Draw,Repetition,178
686,Draw,Max Moves,200
687,Draw,Max Moves,200
688,Draw,Stalemate,193
689,Draw,Max Moves,200
690,Draw,Max Moves,200
691,Draw,Max Moves,200
692,Draw,Repetition,176
693,Draw,Max Moves,200
694,Draw,Max Moves,200
695,Draw,Max Moves,200
696,Draw,Max Moves,200
697,Draw,Max Moves,200
698,Draw,Max Moves,200
699,Draw,Max Moves,200
700,Bot1_Black,Checkmate,76
701,Draw,Max Moves,200
702,Draw,Max Moves,200
703,Draw,Max Moves,200
704,Draw,Max Moves,200
705,Draw,Max Moves,200
706,Draw,Max Moves,200
707,Draw,Max Moves,200
708,Draw,Max Moves,200
709,Bot2_Black,Checkmate,96
710,Draw,Max Moves,200
711,Draw,Max Moves,200
712,Draw,Max Moves,200
713,Draw,Max Moves,200
714,Draw,Repetition,95
715,Draw,Max Moves,200
716,Draw,Max Moves,200
717,Draw,Max Moves,200
718,Draw,Stalemate,129
719,Draw,Max Moves,200
720,Draw,Repetition,80
721,Draw,Max Moves,200
722,Draw,Max Moves,200
723,Draw,Max Moves,200
724,Draw,Max Moves,200
725,Draw,Max Moves,200
726,Draw,Max Moves,200
727,Draw,Max Moves,200
728,Draw,Max Moves,200
729,Draw,Max Moves,200
730,Draw,Max Moves,200
731,Draw,Max Moves,200
732,Draw,Stalemate,134
733,Draw,Max Moves,200
734,Draw,Max Moves,200
735,Draw,Repetition,151
736,Draw,Max Moves,200
737,Draw,Max Moves,200
738,Draw,Max Moves,200
739,Draw,Max Moves,200
740,Draw,Max Moves,200
741,Draw,Max Moves,200
742,Draw,Repetition,137
743,Draw,Max Moves,200
744,Draw,Max Moves,200
745,Draw,Max Moves,200
746,Draw,Max Moves,200
747,Draw,Max Moves,200
748,Draw,Max Moves,200
749,Draw,Repetition,70
750,Draw,Max Moves,200
751,Draw,Max Moves,200
752,Draw,Max Moves,200
753,Draw,Max Moves,200
754,Draw,Max Moves,200
755,Draw,Max Moves,200
756,Draw,Max Moves,200
757,Draw,Max Moves,200
758,Draw,Max Moves,200
759,Draw,Max Moves,200
760,Draw,Max Moves,200
761,Draw,Max Moves,200
762,Draw,Max Moves,200
763,Draw,Max Moves,200
764,Draw,Max Moves,200
765,Draw,Repetition,98
766,Bot2_White,Checkmate,61
767,Draw,Max Moves,200
768,Draw,Max Moves,200
769,Draw,Max Moves,200
770,Draw,Max Moves,200
771,Draw,Max Moves,200
772,Draw,Max Moves,200
773,Draw,Max Moves,200
774,Draw,Max Moves,200
775,Draw,Max Moves,200
776,Draw,Repetition,74
777,Draw,Max Moves,200
778,Draw,Max Moves,200
779,Draw,Repetition,135
780,Draw,Max Moves,200
781,Draw,Max Moves,200
782,Draw,Max Moves,200
783,Draw,Max Moves,200
784,Draw,Max Moves,200
785,Draw,Max Moves,200
786,Draw,Max Moves,200
787,Draw,Max Moves,200
788,Draw,Max Moves,200
789,Draw,Max Moves,200
790,Draw,Max Moves,200
791,Draw,Max Moves,200
792,Draw,Max Moves,200
793,Draw,Max Moves,200
794,Draw,Max Moves,200
795,Draw,Max Moves,200
796,Draw,Repetition,160
797,Draw,Max Moves,200
798,Bot1_Black,Checkmate,88
799,Draw,Max Moves,200
800,Draw,Repetition,173
801,Draw,Max Moves,200
802,Draw,Max Moves,200
803,Draw,Max Moves,200
804,Draw,Max Moves,200
805,Draw,Max Moves,200
806,Draw,Max Moves,200
807,Draw,Max Moves,200
808,Draw,Max Moves,200
809,Draw,Repetition,117
810,Draw,Max Moves,200
811,Draw,Max Moves,200
812,Draw,Max Moves,200
813,Draw,Max Moves,200
814,Draw,Max Moves,200
815,Draw,Max Moves,200
816,Draw,Max Moves,200
817,Draw,Max Moves,200
818,Draw,Stalemate,135
819,Draw,Max Moves,200
820,Draw,Max Moves,200
821,Draw,Max Moves,200
822,Draw,Max Moves,200
823,Draw,Max Moves,200
824,Draw,Max Moves,200
825,Draw,Max Moves,200
826,Draw,Repetition,97
827,Draw,Max Moves,200
828,Draw,Max Moves,200
829,Draw,Max Moves,200
830,Draw,Max Moves,200
831,Draw,Max Moves,200
832,Draw,Max Moves,200
833,Draw,Max Moves,200
834,Draw,Max Moves,200
835,Draw,Max Moves,200
836,Draw,Max Moves,200
837,Draw,Max Moves,200
838,Draw,Max Moves,200
839,Draw,Max Moves,200
840,Draw,Repetition,119
841,Draw,Max Moves,200
842,Draw,Max Moves,200
843,Draw,Max Moves,200
844,Draw,Max Moves,200
845,Draw,Max Moves,200
846,Draw,Max Moves,200
847,Draw,Max Moves,200
848,Draw,Max Moves,200
849,Draw,Max Moves,200
